"model_slug","max_context","8k_pct","8k_ci95_lower_pct","8k_ci95_upper_pct","16k_pct","16k_ci95_lower_pct","16k_ci95_upper_pct","32k_pct","32k_ci95_lower_pct","32k_ci95_upper_pct","64k_pct","64k_ci95_lower_pct","64k_ci95_upper_pct","128k_pct","128k_ci95_lower_pct","128k_ci95_upper_pct","256k_pct","256k_ci95_lower_pct","256k_ci95_upper_pct","512k_pct","512k_ci95_lower_pct","512k_ci95_upper_pct","1M_pct","1M_ci95_lower_pct","1M_ci95_upper_pct","auc_128k_pct","auc_1m_pct","tok_eff","cost_128k","cost_1m"
"nvidia/nemotron-3-super-120b-a12b","1000000","54.10","43.02","64.06","44.74","33.27","55.54","60.29","52.52","68.36","50.72","40.33","62.03","38.09","29.07","46.92","","","","","","","","","","48.78","8.16","1.0245","2.7635","2.7635"
"moonshotai/kimi-k2.6","262144","70.67","60.85","79.40","58.73","48.82","69.56","51.43","43.42","59.07","43.49","32.67","53.75","39.47","30.19","48.77","","","","","","","","","","46.43","7.97","0.9943","19.0561","19.0561"
"z-ai/glm-5.1","202752","96.01","91.16","99.55","79.26","69.57","87.81","68.87","60.47","76.06","45.02","34.57","55.31","27.37","19.79","34.99","","","","","","","","","","50.21","7.65","0.9925","32.2917","32.2917"
"anthropic/claude-opus-4.7","1000000","81.99","72.93","89.67","86.23","77.89","92.40","49.42","41.86","56.73","23.73","16.42","31.74","1.39","0.34","3.13","2.74","1.06","5.00","8.83","6.41","11.59","","","","31.10","7.62","1.6296","133.8880","1265.9218"
"anthropic/claude-opus-4.7","1000000","78.83","69.22","87.42","86.36","78.09","92.46","42.54","35.26","49.71","30.75","22.53","40.02","1.13","0.22","2.73","1.43","0.75","2.30","9.08","6.59","11.81","","","","32.37","7.60","1.6296","133.1344","1264.6939"
"moonshotai/kimi-k2.5","262144","95.12","89.10","98.80","76.93","67.28","85.47","62.73","54.86","70.39","34.89","25.53","45.14","33.02","24.28","41.72","","","","","","","","","","46.17","7.53","0.9943","13.1602","13.1602"
"anthropic/claude-opus-4.7","1000000","88.96","81.43","94.73","84.00","75.57","91.31","46.28","39.02","53.45","23.86","16.75","31.61","0.85","0.31","1.67","2.16","0.82","3.95","8.58","6.25","11.18","","","","30.39","7.29","1.6296","133.4441","1265.0957"
"anthropic/claude-opus-4.7","1000000","86.55","78.66","92.79","84.61","76.17","91.78","45.25","37.91","52.54","31.03","22.72","40.49","1.16","0.42","2.08","1.97","0.93","3.30","7.51","5.47","9.75","","","","33.12","7.20","1.6296","134.1278","1265.6920"
"moonshotai/kimi-k2.5","262144","75.93","67.02","84.52","62.49","51.59","72.20","62.02","54.01","69.93","35.91","26.57","46.16","31.56","23.46","40.07","","","","","","","","","","43.96","7.18","0.9943","11.0971","11.0971"
"openai/gpt-5.4-nano","400000","45.80","34.62","56.43","27.07","18.37","36.54","16.88","11.51","22.79","17.79","10.92","25.78","15.98","10.27","22.51","16.91","11.75","22.20","","","","","","","18.99","6.44","0.9809","5.1913","12.5521"
